video_name,Sentiment,joy,excited,surprise_pos,surprise_neg,worry,sadness,fear,disgust,frustration,anger,Reasoning_1,Reasoning_2,Reasoning_3
10-Ben-Conclusion_24363254,2,3,2,1,1,1,1,1,1,1,1,presenting 2 different directions that people can branch off to...with no judgment...flat expression.  Matter-of-fact,head tiled down and head tiled up ..  eye brow raised ,slight smile on face when signing the statement suggesting postive cues 
10-Ben-Conclusion_24480520,-1,1,1,1,3,1,3,1,1,3,2,"raised brows to indicate a possibility, but then lowering them to indicate what really did happen","not allowed, raised eye brow,  eye gaze attention, focused,  body posture emotional ",Furrowed brows show dissapointment and surprise
10-Ben-Conclusion_29052074,-1,1,1,1,1,1,1,1,3,4,1,role shifting to depicit the views of general society when viewing Deaf people...including expressions of disgust and patronization,"eyes closed, eyes blinked, head shake,  pouted lips ",shaking head and eyebrows furrowed suggest confusion 
2-Ben-Voice-Identity_64778101,2,2,3,3,1,1,1,1,1,1,1,excellent use of different eye gaze directions to shift between the phone convo he is having and narrating this to his audience," wide eyes,  facial expression showing approval, phone conservation head nodding approval ","His facial expression with the pursed lips show intense concentration and the way the eyes widen when ""smart"" is signed shows surprise. THe way the brows raised and the signs are at an even pace when he says meet tomorrow reflect positive emotions"
2-Ben-Voice-Identity_65086412,-1,1,1,1,3,1,1,1,1,3,1,neutral brows indicate that this was a statement...waiting to be flavorized by subsequent expressions and/or signs,"facial show worried,  head movement,  head nod  showing affirmation ","head shake and the way the emphasized eye blinking during ""not match"" shows negative emotions, possibly some frustration "
2-Ben-Voice-Identity_65174582,-1,1,1,1,1,1,1,1,1,3,1,I would characterize this emotion as imposing...describing something mysterious,"emotion  show worry, frustrated,  finger spelled ( emphasized ) with eye brow ",prominent frown among the whole clip suggests negative emotions along with the body movement during the word characteristics seems agressive and supports the negative emotions
2-Ben-Voice-Identity_66058307,-1,1,1,1,2,1,1,1,1,1,1,'and worse' at the beginning...moreso.  his furrowed brows draw the viewer in to see what is going to be said next...,"eye widen,  furrowed brows, pouted lips ","Eyebrows furrowed, head shaking, eyes wide when signing ""and worst"" "
Cory_2013-6-25_sc0106_83664512,2,4,4,3,1,1,1,1,1,1,1,how he smiles slightly throughout the clip signifies that this is a piece of good news,"mouth open, looking suprised ","smiling the whole time, the word transfer was slightly bigger and wider than the rest of the statement suggesting surprise "
Cory_2013-6-27_sc107_1372,3,4,4,3,1,1,1,1,1,1,1,"widened eyes, sign for 'awesome', pause before 'wow' for emphasis",wow: eye wide ,"the sign of ""very or extremely"" is the claw-shaped hand moving left and right by the head emphasizing, eye squirting more emphasizing, use both hand shows for the word ""amazing"" shows more emphasizing"
Cory_2013-6-27_sc107_1575,3,4,4,4,1,1,1,1,1,1,1,paused before doing the kiss-fist for emphasis,kissfist  and  show excitement with  open mouth ( 0) ,"the pouted lips emphasizing joy/excited when signing ""ohhh"" in the middle of ""car"" and ""kissfis"""
Cory_2013-6-27_sc107_1677,-3,1,1,1,1,1,1,1,2,1,1,he depicts himself being polite in front of the wearer of the dress when he secretly does not like the dress,"THAT DRESS ( slight squint ) dislike, shaking head not my type",The  frown with head shake suggest negative emotions or disdain. 
Cory_2013-6-27_sc107_2590,3,4,4,3,1,1,1,1,1,1,1,long closed eyes while signing 'wow' give emphasis to how his friend was feeling," mouth (o) showing thrilled , why won lottery exciting  with body shoulder raised ","Closed eyes and shaking head while signing ""excited"" emphasizes positive emotions and joy "
Cory_2013-6-27_sc107_3098,3,4,4,4,1,1,1,1,1,1,1,pursed lips indicate an attempt to control his emotions/excitement at his best friend having visited Boston yesterday,"head tiled, eye brow up ","side smile suggests happiness when signing ""best friend"" "
Cory_2013-6-27_sc107_32100,-2,1,1,1,3,1,1,1,4,1,1,"using 'wow' at the beginning to reel in the viewer, then slowing down for dramatic effect","WOW, watch COST EMPHASIZED , two thousands ( furrowed brows )","the sign ""crazy"" is signed with a frown "
Cory_2013-6-27_sc107_362,-2,1,1,1,1,4,1,4,1,4,4,furrowed brows with 'upset' makes the word stronger.  looked like he was about to answer his own question (rhetorical) at the end when the video cut off,"CS, furrowed brows,  shaking head ","Bared teeth, head shake, scrunched face when signing ""why"" suggests intense negative emotions"
Cory_2013-6-27_sc107_6814,3,4,3,4,1,1,1,1,1,1,1,how he depicted himself eating the sandwich showed his expression when he tasted it...wow...very delicious...with sign for 'wow' and a large sign for 'delicious' and head rotation,CS ( recently). WOW  delicious !!,"""delicious"" signed with lips out and head shake suggest positive emotions "
Cory_2013-6-27_sc107_7119,3,4,3,3,1,1,1,1,1,1,1,"raised brows to indicate a rhetorical question, quickly segueing into a strong, firm statement about how this person will kiss-fist the cake in question","raising eye brow indicate yes , like chocolate cake , head tilt  emphasized like choc ","when the person signs ""kissfist or love"", the head shakes swiftly with closed eyes, emphasizes joy and excited."
Cory_2013-6-27_sc107_7321,-2,1,1,1,1,2,1,1,1,1,1,"the FS UPSET shows extra upset-ness, as compared with merely signing that word","if vote again head shaking, if win shoulder raising ",the lip curl and head shake suggest disappointment and negative emotions 
Cory_2013-6-27_sc107_7422,-2,1,1,1,1,1,1,4,1,4,1,the slowed-down sign for 'upset' does a lot to indicate how angry his mom would be,IF IF++ forgot food store. mom upset will eye brow  up and head nodded ,"upset feels emphasized because of the head shake that accompanied it, this suggests worry and some fear"
Cory_2013-6-27_sc107_8436,-2,1,1,1,1,1,4,2,1,4,1,"the repeated sign for 'struggle' conveys a long time struggling, and then the sign for 'become' growing out of that same space indicates that this same issue is now causing the subject's despair","sta, sta - struggling, head tilt depression ","""struggle"" signed with the open mouth movement emphasizes frustration. The pout at the end with the sign ""dejected"" suggests sad"
Cory_2013-6-27_sc107_8638,-3,1,1,1,1,4,1,4,1,1,1,"wide eyes indicating a negative occurrence, as well as mouth wide open to convey fear/panic","computer crashed, hands nervous facial expression stressed, ","the sign ""nervous/panic"" paired with the facial expression of open mouth and shaking body suggests strong fear and worry "
Cory_2013-6-27_sc107_8841,3,4,2,3,1,1,1,1,1,1,1,"sign for 'wow', followed by large space for 'beautiful' emphasizes what he really thinks of the picture","you give me pix wow beautiful !! head tilt as agreed, emotions with head movement, facial expression show wow ","the bared teeth and open movement show positivity, the head shake during ""beautiful"" emphasizes the feeling "
Cory_2013-6-27_sc107_9956,2,2,2,1,1,1,1,1,1,1,1,closed-eyes with kiss-fist indicates a deep liking for,"eyes squint  kiss fist , head tilted back which","""vegetables"" is signed postively with a slightly widened eye suggesting positive emotions "
Cory_2013-6-27_sc108_3378264,-2,1,1,1,1,1,3,1,1,3,1,the large 'bored' at the end betrays his true feelings about reading that book,will finish read ( facial show a bit frustrate with tongue a bit out.) head titled bored ,"the way the sign ""boring"" is coupled with open mouth and lip curl suggests disgust or  dislike - negative emotions"
Cory_2013-6-27_sc108_3378363,-2,1,1,1,1,1,1,1,1,4,1,"the tongue hanging out and the large sign for 'bored' both serve to convey, well, being really bored!","blow kissing bored,  eye gaze - determined ","the open mouth and head movement to the side when signing ""bored"" suggest very negative emotions leaning more towards dislike "
Cory_2013-6-27_sc108_3378954,2,1,3,1,1,1,1,1,1,1,1,wide eyes when talking about the winning of an award...and large signing space for 'won', netural facial expression,the sign won had bigger range of movement and emphasized with a head shake and slight smile suggesting postive emotions such as joy or excitement 
Cory_2013-6-27_sc108_3379053,2,3,3,3,1,1,1,1,1,1,1,'won' is made stronger by the head turning to one side a bit,netural face  with small smile ,"the sign ""win"" is emphasized by a head shake and sharper movements 
"
Cory_2013-6-27_sc108_3379644,2,3,3,2,1,1,1,1,1,1,1,"he signs 'guaranteed' firmly, as well as 'delicious' to a lesser extent",GUARANTEE delicious ! order pizza here..  head nodded as agreed,"the sign ""guaranteed delicious"" with a head shake and a firm delicious suggest postive emotions "
Cory_2013-6-27_sc108_3380334,-2,1,1,1,1,1,1,1,4,1,1,the out-sticking tongue serves its purpose in conveying disgust,"tongue out showing dislike veg, eye gaze= informing you he cant eat veg, throwing up with facial expression","the lip curl, bared teeth and head movement backward when he signs ""nausea"" really emphasize the disgust however it seems to start off positively when he signs vegetable with a small smile and widened eyes"
Cory_2013-6-27_sc108_3380433,-2,1,1,1,1,3,1,1,1,1,1,"his sign for 'became sick' was slower than the preceding words, for effect...accompanied by a look of disgust on his face",VEG ++ spinach eat S I C K     IF IF == eat ,the word sick signed with bare teeth emphasize negative emotions like worry 
Cory_2013-6-27_sc108_3380727,-2,1,1,1,1,4,4,4,1,4,3,the repeated use of 'neglecting homework' emphasizes his fear point,"IF IF  not doing homework with tongue  , head shake, head tiled up","disregard is slightly emphasized by repeating it more than once.  mouth purse when signing ""wont"" and then head shake after emphasizes negative emotions "
Cory_2013-6-27_sc108_3380826,-2,1,1,1,1,2,2,1,1,3,1,the emphasis on the sign for 'won't' gives away his true sentiments,"sister with ( CS) mouth movement,  not doing homework shaking head ","The emphasized sign on disregard -repeatedly emphasizes negative emotions and at the beginning the bared teeth and head turn when signing ""if"" suggest negative emotions"
Cory_2013-6-27_sc108_3381715,3,3,2,4,1,1,1,1,1,1,1,"'if you wanna know', accompanied by 'sleepy' eyes conveys a sense of ... oh, if you really care...then eyes opened wide a bit to talk about what would be won",WANT KNOW ? gift get TEDDY BEAR emphasized WANt to Know ,"eyebrows raised and slight smile during the statement suggests positivity, "
Cory_2013-6-27_sc108_3381912,-1,1,1,1,1,1,1,1,1,1,3,pause and 'ooooh...' before explaining the consequences for showing up late," ""0"" mouth  , if not show up, sorry will ( threaten) warning...","when the person signing ""ohh, they will regret it"", the lip pouted and head moved slightly with blinking eyes."
Cory_2013-6-27_sc108_3382011,-3,1,1,1,2,3,1,2,1,1,2,"the mouth morpheme for 'oooh' conveys a sense of foreboding, more so than plain gloom and doom","FS= L A T E , emphasized, arriving and upset with head shake and head tilt ","the facial expression shows negatively the whole clip. The head shake during ""upset"" emphasizes mad"
Cory_2013-6-27_sc108_338228,-2,1,1,1,1,3,1,1,1,1,1,betraying a bit of emotion without unleashing too much shows that what is being supposed is only hypothetical at this point," IF, eye gaze,  SICK= facial expression,  stay home head nodding, indicate agreement ",the lip curl when they signed sick suggest negative emotions like worry or fear
Cory_2013-6-27_sc109_8395473,-3,1,1,1,2,3,2,4,4,1,1,"the twisted chin at the end shows how worried he is about the threat of a lawsuit.  also, twisting his head when showing the fist-punch gives effect to how hard the punching was","strong facial expression negative, worried  that man HIT  with emphasized hard ",The facial expression at the end emphasizes negative emotions with the head shake and pursed lips 
Cory_2013-6-27_sc109_8395670,-1,1,1,1,1,1,2,1,1,1,1,"upraised brows at the beginning serve to draw the viewer in, as in...'you know??', then later on his mouth expression of 'aw shucks' shows something that didn't happen","head shaking  not winning, ","the pursed lips and shaking head when signing ""not win"" suggest disappoinment and sadness "
Cory_2013-6-27_sc109_8395867,3,3,2,4,1,1,1,1,1,1,1,following up a neutral statement introducing the jacket with wide eyes and talking about how warm it looks adds impact to his views of it,"recently teeth clethced, bought jacket  wow  warm ! widening lips indicate wow ","The way ""look warm, crazy' is signed with body motion and head shaking suggest surprise. However the facial expression does not look positive so it could be negative surprise "
Cory_2013-6-27_sc109_8395966,-2,1,1,1,1,3,1,1,2,1,1,"although this was overall more of just a statement, his look of surprise conveyed a sense of 'wow' at the possibility of this man being one and the same","man. eye brow raised,  busted = blow kiss,  same = head shake ",Raised eyebrows 
Cory_2013-6-27_sc109_8396064,3,3,4,4,1,1,1,1,1,1,1,pausing for emphasis before 'you will kiss-fist' gives more emphasis to how much the person will like it,"CS ( recently)  eye closed kissfist, WILL ","The word ""love"" signed with head shake strongly emphasizes the feeling of excitement and happiness "
Cory_2013-6-27_sc109_8396754,-2,1,1,1,2,3,2,2,1,1,3,"without further words before or after, it is inconclusive as to if this is a statement or a question","DAD UPSET WHY ? facial expression, strong expression show worried","The head shake during ""anger"" emphasizes that they are mad however the brows furrowed during ""why"" show worry "
Cory_2013-6-27_sc109_8397050,2,2,4,4,1,1,1,1,1,1,1,the tongue out and the slightly prolonged sign for fall-in-love indicates more than just mere curiosity,asking question WHO ? falling in love with Bill ?  he wanted to know WHO ?,"furrowed brows and shaking head show frustration when signing ""who"" "
Cory_2013-6-27_sc109_8397838,-1,1,1,1,1,1,3,1,3,1,1,"his frowning lips show a 'not bad' tinge when talking about AA's prices, and then the extended hand at the end shows more of resignation than outright anger",body on side as showing concerned about price $$ ,"when the person signing ""stuck"", lip frowning down. when person signing ""florida to boston only have AA"", "
Cory_2013-6-27_sc109_8397936,-3,1,1,1,3,1,1,1,2,1,1,"shaking head in amazement at the beginning, and the deep exhale at the end both conspire to indicate something big going down","head shake ( disagreed)  head movement,  body posture show he has many computers..  wow ","The head gesture at the beginning showed disgust however the way that he signed ""love"" with the head shake and closed eyes showed deep emotion towards the statement. The bared teeth do not reflect positively with the other gestures. "
Cory_2013-6-27_sc109_8398331,-1,1,1,1,3,1,1,1,1,1,1,his laugh and then head-shake at the other person's assertion are both pronounced,"disagree with the comment he is making with a friend  encomoic is in crisis,( what) with eye crossed","when the person speaks silently ""what? noo!"", squinted eyes with showing full teeth and head shakes in no no emphasizing surprised in slight negative way "
Cory_2013-6-27_sc109_8398627,-2,1,1,1,1,2,3,1,3,4,3,"outstuck tongue to indicate that this process has been taking way too long, and then the neck crane at the end to indicate frustration","tongue out- havent , shake head ( frustrated all comments)",tongue out and head shaking suggest negative emotions 
Cory_2013-6-27_sc109_8399614,-2,1,1,1,4,1,1,1,2,1,1,"neck movement at the beginning replicates how he would truly react in the moment, and the big sign for 'boring' gives emphasis","head movement, showing WHAT ? show strong opinion think bored (   eye gaze)","in the beginning of the video, the head tilts forward fastly with flat lip and furrowed bows shows surprised in negative way. pouted lips with blinking eyes in the end shows disgust."
Cory_2013-6-27_sc109_840018,3,4,4,4,1,1,1,1,1,1,1,the opening 'no' indicates that he has been told otherwise (that the day is beautiful) so he uses exaggerated sign space and facial expressions to refute the original speaker,"NO , empahsized head tilted with smile, ","the open mouth/slight smile when saying ""no"" suggest surprise. Range of motion seems open and suggests joy with the smile and wide eyes "
Cory_2013-6-27_sc110_17077,-1,1,1,1,1,1,2,1,1,2,1,"looks like he is very neutral in making this assessment, as opposed to he could've used negative facial expressions and a large sign for lousy if he really wanted to convey disappointment/negativity ", no facial expression  very netural ,This video was very neutral hard to separate context from emotions because there were no emphasized facial expressions or body movement. the signs were slower and controlled so it suggests non positive feelings with the context 
Cory_2013-6-27_sc110_171111,3,4,4,4,1,1,1,1,1,1,1,a statement thru and thru...the upturned lip at the end indicated joy/happiness,"smile face, today with joy day is beautiful with no NMM just showing smile ","the lip smirked shows joy when signing ""beautiful"""
Cory_2013-6-27_sc110_171820,-1,1,1,1,1,1,1,1,1,1,1,"the slight head-tilt conveys an attitude of...'this shouldn't be a surprise'
","dad and me like same.. head movement, head tilt, show confirm that we like same food ",the head nod during like suggest that this is positive and when signing same there is a slight smirk that suggests happy 
Cory_2013-6-27_sc110_172022,3,3,2,1,1,1,1,1,1,1,1,"kiss-fist emphasizes a feeling of 'extra'.  In addition, the slowly-fingerspelled LOX shows that it HAS to be lox, not just any kind of cream cheese",kissfist and emphazied he loves lox cream cheese ,Overall neutral body language but does emphasize love with a head nod which suggest positive emotions
Cory_2013-6-27_sc110_172529,0,2,1,1,1,1,1,1,1,1,1,"'likes' was signed firmly, showing that the dad likes choc cereal just like the son",emphasized. we like same choc cereal as if he is agruing  that they like same thing ,"head nod when signing ""like"""
Cory_2013-6-27_sc110_172630,0,1,1,1,1,1,1,1,4,1,1,his hand-waving at the beginning to 'get attention' of the person who is already watching him...as well as his nose-scrunch when talking about his detestation,"show facial hates chocolate cereal,  expression shows how much he dislike ","teeth clenched when signing ""dislike or hate"" emphasizing disgust as hand waving showing no no "
Cory_2013-6-27_sc110_172732,-3,1,1,1,1,1,4,1,1,4,4,less is more in this case...simply need a large sign for 'broken' as well as the sad expression...and the viewer knows it is a serious case,BOLD SIGN CAR BROKEN  with pouted lip,"The word ""broke"" is signed with forward movement and a facial expression that shows not happy. Suggesting negative emotions "
Cory_2013-6-27_sc110_173036,-2,1,1,1,1,1,4,1,1,3,1,"not clear if this is a question or a statement...it starts out looking like a Y/N question, with the raised brows...but then there is no ending '?' sign or other indicator...it ends up looking like a statement instead",true biz car broken down- head shake - with strong NMM blowing lips,"when the person signing ""car"", raising eyebrows up with clenched teeth shows anger"
Cory_2013-6-27_sc110_173340,-2,1,1,1,1,1,2,1,1,2,2,"pause for a bit after 'our cousin John' for effect, then the big sign for 'broke' conveys 'wow!'",cousin- emphasized who..  furrow brow and pouted lips ,"the exaggerated sign of ""broke"" shows frustration and anger with the head movement emphasizing negative emotions"
Cory_2013-6-27_sc110_173441,-3,1,1,1,1,1,1,1,2,4,1,Frustration at the viewer keeping on thinking it was John that broke the truck...indicated by his hand-waving at the beginning,"shake head, NOT JOHN , emphasized MARY broke , tiled head ",Head shake and bared teeth suggest frustration 
Cory_2013-6-27_sc110_173442,-2,1,1,1,1,1,3,1,1,4,4,the addition of 'true-biz' indicates that he needs to emphasize it...as if someone was doubting him,"anger, true biz car broken with head movement ",Eyes are squinted and teeth bared suggesting frustration and anger 
Cory_2013-6-27_sc110_173543,-3,1,1,1,1,1,1,1,4,4,1,"'true-biz destroyed', along with the accompanying NMM of scrunched nose, lends strength to his comments.  Also, contrast 'destroyed' with 'broke'","shaking head, PUFFED LIPS, raspberry blow lips, true biz  BOLD sign","when signing actually, the facial scrunch and emphasis of the word ""crash"" support negative emotions like frustration and anger"
Cory_2013-6-27_sc110_173745,-2,1,1,1,1,1,4,1,1,1,1,"a neutral overall statement, made slightly negative by how his head bowed down at the end",car broken down ( raspberry kiss),"When signing ""broken down"" there is a face pout suggesting sadness "
Cory_2013-6-27_sc110_173949,-1,1,1,1,1,1,1,1,1,1,1,"raised brow to indicate a possibility, followed by a more neutral statement explaining the outcome of said possibility occuring","puffed lips  car broken, have to with eye brow take him to work ","frowning lip quickly shows sadness when signing ""broke down"", teeth clenched shows frustrated when signing ""taker her to"""
Cory_2013-6-27_sc110_174050,-1,1,1,1,1,1,3,1,1,1,1,"using sad eyes to talk about how Mary's car has been broken down for a while now, then shifting to neutral eyes to talk about how John has been taking her to work during this time","mouth movement show bored,   SINCE = long time facial expression","when the person signs ""broke"", the pouted mouth opens with one blinking eye"
Cory_2013-6-27_sc111_58733526,-3,1,1,1,1,1,1,1,1,1,3,"depicted himself being angry at John with an open mouth, and quickly signing 2H-OFF","IF IF ++ , furrowed brows,  shake head,  eyes closed tightly ","the sign ""off"" with bared teeth, head shake, furrowed eyebrows suggest negative emotions, the way off is signed sharply emphasizes it "
